Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4469.6,0.1,06:32.8,07:30.5,1.11,00:00.0,0,38.5,1099,4.1,0,---,---,---,---,---,---,---,---,---,---,52.5697878,-0.1751891
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,493.5,0,02:39.8,02:20.1,3.57,00:00.0,0,31,68,6.9,0,---,---,---,---,---,---,---,---,---,---,52.5691566,-0.1822373
1,500.5,0,02:41.8,02:20.8,3.55,00:00.0,0,30,69,7,0,---,---,---,---,---,---,---,---,---,---,52.5691444,-0.1823386
1,507.4,0,02:43.8,02:22.4,3.51,00:00.0,0,30,70,6.9,0,---,---,---,---,---,---,---,---,---,---,52.56913,-0.1824378
1,514.3,0,02:45.8,02:22.9,3.5,00:00.0,0,31,71,6.9,0,---,---,---,---,---,---,---,---,---,---,52.5691214,-0.1825389
1,521.3,0,02:47.8,02:23.3,3.49,00:00.0,0,28.5,72,7,0,---,---,---,---,---,---,---,---,---,---,52.5691136,-0.1826411
1,528.3,0,02:49.8,02:22.4,3.51,00:00.0,0,30,73,7,0,---,---,---,---,---,---,---,---,---,---,52.5691051,-0.1827439
1,535.3,0,02:51.8,02:20.4,3.56,00:00.0,0,30,74,7,0,---,---,---,---,---,---,---,---,---,---,52.5690967,-0.1828457
1,542.3,0,02:53.8,02:20.8,3.55,00:00.0,0,30,75,7.1,0,---,---,---,---,---,---,---,---,---,---,52.5690872,-0.1829489
1,549.3,0,02:55.8,02:21.2,3.54,00:00.0,0,30,76,7,0,---,---,---,---,---,---,---,---,---,---,52.5690728,-0.1830498
1,556.5,0,02:57.8,02:20.1,3.57,00:00.0,0,31,77,7.1,0,---,---,---,---,---,---,---,---,---,---,52.5690652,-0.1831545
1,563.6,0,02:59.8,02:19.3,3.59,00:00.0,0,30,78,7.2,0,---,---,---,---,---,---,---,---,---,---,52.5690534,-0.1832587
1,570.7,0,03:01.9,02:18.1,3.62,00:00.0,0,30,79,7.1,0,---,---,---,---,---,---,---,---,---,---,52.5690384,-0.1833607
1,577.8,0,03:03.8,02:17.0,3.65,00:00.0,0,30,80,7.1,0,---,---,---,---,---,---,---,---,---,---,52.5690261,-0.1834638
1,585.6,0,03:06.0,02:18.1,3.62,00:00.0,0,30,81,7.8,0,---,---,---,---,---,---,---,---,---,---,52.5690101,-0.1835754
1,592.3,0,03:07.8,02:18.5,3.61,00:00.0,0,30,82,6.7,0,---,---,---,---,---,---,---,---,---,---,52.5689898,-0.1836687
1,599.6,0,03:09.8,02:14.4,3.72,00:00.0,0,30,83,7.3,0,---,---,---,---,---,---,---,---,---,---,52.5689733,-0.1837731
1,606.9,0,03:11.8,02:15.1,3.7,00:00.0,0,30,84,7.3,0,---,---,---,---,---,---,---,---,---,---,52.568958,-0.1838781
1,614.2,0,03:13.8,02:16.6,3.66,00:00.0,0,30,85,7.3,0,---,---,---,---,---,---,---,---,---,---,52.5689456,-0.1839838
1,621.9,0,03:16.0,02:15.1,3.7,00:00.0,0,30,86,7.8,0,---,---,---,---,---,---,---,---,---,---,52.5689305,-0.1840957
1,628.6,0,03:17.8,02:17.4,3.64,00:00.0,0,30,87,6.7,0,---,---,---,---,---,---,---,---,---,---,52.5689187,-0.1841927
1,635.9,0,03:19.8,02:17.4,3.64,00:00.0,0,30,88,7.3,0,---,---,---,---,---,---,---,---,---,---,52.568905,-0.1842985
1,643.3,0,03:21.8,02:14.8,3.71,00:00.0,0,31,89,7.4,0,---,---,---,---,---,---,---,---,---,---,52.5688915,-0.1844051
1,650.7,0,03:23.8,02:14.8,3.71,00:00.0,0,30,90,7.3,0,---,---,---,---,---,---,---,---,---,---,52.568881,-0.1845124
1,657.4,0,03:25.7,02:16.2,3.67,00:00.0,0,31,91,6.8,0,---,---,---,---,---,---,---,---,---,---,52.5688723,-0.1846112
1,665.2,0,03:27.8,02:15.1,3.7,00:00.0,0,30,92,7.8,0,---,---,---,---,---,---,---,---,---,---,52.5688603,-0.184725
1,672.2,0,03:29.8,02:16.6,3.66,00:00.0,0,31,93,7,0,---,---,---,---,---,---,---,---,---,---,52.568843,-0.1848247
